First Name,Last Name,Age,Sex
MARia,lOUDeRmilK ,54,MF
eUGENe,trAvis ,23,LGBT
dOLorES, HeyWOOD,35,both
RItA,whiTe ,57,-
 CoRiNa,mIlToN,10,Male
ALicE,fArRER ,37,FM
jAcOB ,LEMOinE,60,both
RoBeRt ,FisChEr,48,both
gaylE, dEberrY,58,f
lLoyd, broWN,45,M
KAYLA, MEJiA,41,MF
arnOld,pOwELL ,65,Male
sUsAN,mOnahan ,187,Female
wInFrEd,ViTaLE ,53,-
SeRGiO ,ChUN,40,LGBT
JONATHan, FLYNn,70,MF
SHirLeY ,wilSoN,67,both
kAren ,WeUVe,22,m
nAoMi,ALeMAN ,49,Man
jeRROLD, maRtiNeZ,58,f
rENEe ,SiMPkiNs,113,M
 StePhanie,cOWEll,69,Female
oLIViA ,BErrIOs,40,FM
Elsie, huNt,44,m
EUGeNE,SAVAgE ,101,FM
 ANN,DUNLEavy,54,FM
lEsLEY, bLAdeS,20,FM
 staCY,bIhM,181,f
Darren, iTurBE,35,LGBT
JasOn ,thIBAULT,178,both
 JOsEPh,WIlbORN,37,both
JErRy, DOUgHertY,33,FM
MAry ,JoNEs,67,MF
rAe,aRnolD ,25,Female
MaRiA,shonES ,19,Male
mARcUs, STILL,189,M
kAthLeen,reAvEs,50,-
GAVIn ,bRaNNen,63,LGBT
MaRy,BatES,24,-
kIm, RutLedgE,69,Female
matthew,LInNeaR ,1,M
lUIs, WISsIngeR,70,M
 ALBert,JenNINGS,50,f
LEO ,wHitTen,48,F
EDWaRd, hARRis,126,m
MArGuERiTe ,borkOwski,41,Girl
vIvIAN, bANKS,4,F
lINDa,WiLLiams ,54,FM
bettY, SPRIngER,26,m
LiSa ,dAVIS,43,LGBT
LauREN,BrANnAn ,165,F
iRene,haNNah ,29,M
MiCHAEL,niChols ,135,M
ANTOniO ,FUGiTT,49,Male
rUBy,hoRner ,42,-
kRiSTine, TaLLiE,56,Female
 clifford,BeNigni,56,M
wAltER, NEwSomE,28,M
 Eula,BUBaR,54,m
yOUng ,WArE,23,FM
AlPHoNSo ,mceWEn,36,M
paTrIcIA ,SIGns,39,-
FAyE, PIMENTaL,46,m
DANielLe,haRrIs ,47,F
 ReNEE,duFFIn,32,MF
EdWaRD ,bRUnETTe,69,F
keVin, sImmons,129,f
DIaNe ,cRUZ,1,m
MicHellE, dERry,56,MF
 JON,stAnLEY,50,-
gabrIelle ,WIlLIamS,41,m
jaY,lIebermaN ,12,FM
dAVid,Aguilar,57,F
bOBBY ,prAhM,28,Male
JEaN ,hARriSOn,50,f
geOrgE, BUsH,52,Male
daViD ,BURrIs,56,M
ELma,mOnSON ,24,both
RoBERT,HERREra ,37,both
chaRLeS, PAtTErSon,33,Man
LEwiS, roark,47,f
dOYLe ,Cox,121,Female
GloRIA, jONES,18,Male
 jUlIe,SwaiN,41,-
 AshleY,HARris,20,Female
GLadYs,JaMES ,14,MF
MEGAN, garNer,33,-
 aNa,jOrDan,34,MF
 MAurICe,daIGle,31,M
kELLY ,iSsa,13,f
jAMEs ,wRigHt,58,m
 mICHaEL,TERMAN,9,FM
daNiel,mOorE ,39,both
jUstIN,WiLliamS ,30,LGBT
armaND ,lEwiS,43,F
ElIzabEtH, bLOMDAHL,14,M
 KAThLEen,CRIsSMAN,42,M
jaCK ,ColLINS,44,f
JeSSicA ,FOsBERg,36,LGBT
 CaRriE,CiSnEroS,66,m
MArTha, VaNOVer,21,M
RObyN,oSboRne,194,both
LuCINdA,TrICe,25,LGBT
cRiSTINa ,jarVIs,68,Female
jacQUeLInE, MadIsoN,21,m
cAsEy ,CaNTeR,57,M
jOsEpHiNe, mCfarLaNd,66,both
AnthonY ,FlOyD,27,M
VaLerie, jErNiGan,17,Man
dOUGLas ,COTA,53,F
 JANeT,hiLL,60,M
cheRYl, SChlicHTEr,62,FM
wilLie,WeITZEL ,29,Female
 SaRAh,jOhANSeN,31,M
Robert,mUrpHy ,22,Male
sAlLY, caMACho,140,m
 EDDIE,WArren,27,both
genEVieve ,DuncAN,56,-
CArL ,moss,59,MF
HOWard, elFORd,151,f
sheILA, cAwTHON,51,F
peTER ,FERgUSoN,32,Male
lindA,MIllWOod,51,MF
roDNeY, wyke,12,MF
STEpHEN, SHaRP,101,LGBT
shaNe ,NUSS,32,-
mIChAEl,valEncIa ,72,Female
TEd ,hOLsombaCk,24,M
STEpHEn, MyeRS,48,f
ShErRY,EAsON ,69,FM
HEatHEr ,lAWsOn,7,M
amaNDA,SHEPARD ,54,-
BRandOn ,KIEfeR,25,both
INgRId, oSgOoD,53,LGBT
 ReBeCCa,hUNT,27,LGBT
herbeRt, matEUS,65,LGBT
KarI, BROwn,65,m
Cindy ,schuld,191,-
carOl ,cHoe,17,f
 MicHaeL,POrtEr,50,both
 ELIZabeTH,darley,38,F
tAYLoR,teRRanOvA ,44,M
sandRa ,SiMON,6,both
MichAEL, SpaRkS,20,LGBT
 TheresA,soLIS,25,MF
peteR, TwOGOOD,46,F
jESs,stoGNEr ,2,both
Mark, chRISTIan,10,f
 pAmELA,stOkeS,23,-
FrED, ARmOuR,54,m
gAry,aUSTIn,27,both
niChOLas, HickS,33,MF
 RObert,HOlLAnd,67,both
eLiZABEth ,sTOEhR,20,both
jaSOn ,TopEL,57,m
PhYllis,Hamm,29,Male
donna, MarIn,45,F
Robert ,RistAU,41,MF
sOpHiE,STeveNsON ,24,f
 MerrIe,KiNde,68,Man
 CLyde,WIleY,58,M
CaRl,kerWOOD ,116,Female
DaViD ,MorRiSSey,26,LGBT
JaNEt ,wArNEr,58,both
irEnE, sheltoN,51,MF
andreW, cALfee,27,f
kEnDra, COuLOMbe,33,F
LisA, aLDRIDgE,13,F
LoReTTA, cleaveR,167,LGBT
LisA, ESlEr,6,M
 Son,osbOrne,61,f
aRacEli,JONES ,176,Man
mARy, HoLLANd,9,Male
DuSTIn ,LaWson,100,-
 jOhN,STronG,35,f
MildRed, mILLer,17,f
jERI ,pALMeR,60,M
sUsaN,blaIR ,54,F
pATrIcIA ,GrAhAm,52,f
PhYLliS,DEboARd,54,Male
petEr ,pittMan,59,Female
EDITH, jAcOBS,40,M
WENDY, mcSWeeney,64,Female
 ChRISTOpheR,SIlVa,51,m
ThOMaS ,hONg,31,f
 doRothY,COffEy,15,Female
ADrIANNa ,mitcHelL,66,F
 leah,MilLER,25,both
 JOaNNE,GILmARTIN,14,both
sAndRA, linDEnBaUm,12,M
 ritA,MYNAtt,20,both
henry ,priEbe,68,MF
sHArOn ,FIeLd,170,FM
FrAnCES ,brAfMan,10,both
NAtAliE ,dondero,46,Male
 ROnAld,mcneiLl,23,Male
bRAndon ,GonzAlES,23,F
WEsLEy,YAtes ,23,M
jOsePH ,HamlIN,14,LGBT
fred ,FiEck,30,F
 VASiLIKi,eiSenhaUER,34,Girl
CrAiG,ReED ,64,f
alAn,JUdd ,30,LGBT
NIColE ,RaDFORD,55,f
SuSAn, rICh,35,m
aLBert,JOhNstoN ,26,Female
RoSA ,BaRnEtTE,50,Female
dawN ,RUsSElL,52,Female
CHarLie, lITTlE,66,f
 ceciL,shaW,86,Male
eDWiN, kOons,23,f
 hELEN,FErNANdEZ,65,F
ramoN ,chRIttoN,48,f
jeAnETte, nieVeS,66,both
IDa,SPeIDeL ,24,F
 paTRICK,orTiz,35,FM
 ElizAbETh,EsMOnD,34,-
Carolyn, SArMIEnTo,58,Female
CYNtHIA, lINDsTRom,52,LGBT
roBERt,CaSAlE ,61,F
 joSHUa,cOULteR,49,MF
maRcuS,PAiDeR ,41,FM
daNa, FOwlEr,181,LGBT
wILLIAm ,WaLker,66,both
BryAn, KElleY,25,f
eRiN,FLeMInG ,58,Male
PErRY ,FoRd,49,-
AnN, cORcoraN,16,MF
 mArk,sImpsoN,69,F
 MAViS,LOOs,53,m
lAtOrIa, plourd,159,FM
EdiTH ,HUFFmAN,4,LGBT
JoSEpH, UrBiNa,65,m
BaRBArA ,toRRES,46,LGBT
EDwarD, ROGerS,33,Male
henRY ,wiNTeRS,25,f
KElSiE, KAmIyA,43,M
MORgAN,PeNnInGtOn ,21,M
bRett,thomAs ,182,both
rIchard ,mAtTHews,4,F
maTtheW,bRoWn ,55,M
 caroL,wEIL,49,MF
EDNa,oneaL ,34,Female
bRenDa ,BArD,46,f
dIANA,Bork ,22,f
ron, skeltOn,25,Girl
JosE ,mCdAnIel,130,-
 dARa,CarTER,69,M
KenNeth ,tANneR,5,F
 JAMES,chESTErfIELd,43,-
 JOhn,MckeE,56,MF
 rodnEy,grAbLE,52,both
audrey ,HEnry,52,M
catHy, MiLlEr,33,both
michaeL, EDeLStEin,44,Male
STEve ,MARTiNEZ,33,Male
carmen, miTCHELl,172,F
 NElLIE,mCLeNdon,59,m
bARbARA, goOdrich,10,m
 DAniEL,BlANCHARD,53,-
FRaNk ,COx,149,MF
LENA,oSzUST ,65,FM
ALBErTo ,scHlicHT,200,F
RuSSElL ,pINCkNEY,9,both
 RoDney,GalDaMeS,122,LGBT
THomAs, campBELL,32,-
lERoy,CecIl,23,m
JOY, wOodS,67,f
 joSepHINa,mCleod,45,-
BeNitO, HamlIN,32,-
 eLSie,vAUgHN,56,LGBT
