First Name,Last Name,Age,Sex
Maria,Loudermilk,54,LGBT
Eugene,Travis,23,LGBT
Dolores,Heywood,35,LGBT
Rita,White,57,Not Defined
Corina,Milton,10,M
Alice,Farrer,37,LGBT
Jacob,Lemoine,60,LGBT
Robert,Fischer,48,LGBT
Gayle,Deberry,58,F
Lloyd,Brown,45,M
Kayla,Mejia,41,LGBT
Arnold,Powell,65,M
Susan,Monahan,187,F
Winfred,Vitale,53,Not Defined
Sergio,Chun,40,LGBT
Jonathan,Flynn,70,LGBT
Shirley,Wilson,67,LGBT
Karen,Weuve,22,M
Naomi,Aleman,49,M
Jerrold,Martinez,58,F
Renee,Simpkins,113,M
Stephanie,Cowell,69,F
Olivia,Berrios,40,LGBT
Elsie,Hunt,44,M
Eugene,Savage,101,LGBT
Ann,Dunleavy,54,LGBT
Lesley,Blades,20,LGBT
Stacy,Bihm,181,F
Darren,Iturbe,35,LGBT
Jason,Thibault,178,LGBT
Joseph,Wilborn,37,LGBT
Jerry,Dougherty,33,LGBT
Mary,Jones,67,LGBT
Rae,Arnold,25,F
Maria,Shones,19,M
Marcus,Still,189,M
Kathleen,Reaves,50,Not Defined
Gavin,Brannen,63,LGBT
Mary,Bates,24,Not Defined
Kim,Rutledge,69,F
Matthew,Linnear,1,M
Luis,Wissinger,70,M
Albert,Jennings,50,F
Leo,Whitten,48,F
Edward,Harris,126,M
Marguerite,Borkowski,41,F
Vivian,Banks,4,F
Linda,Williams,54,LGBT
Betty,Springer,26,M
Lisa,Davis,43,LGBT
Lauren,Brannan,165,F
Irene,Hannah,29,M
Michael,Nichols,135,M
Antonio,Fugitt,49,M
Ruby,Horner,42,Not Defined
Kristine,Tallie,56,F
Clifford,Benigni,56,M
Walter,Newsome,28,M
Eula,Bubar,54,M
Young,Ware,23,LGBT
Alphonso,Mcewen,36,M
Patricia,Signs,39,Not Defined
Faye,Pimental,46,M
Danielle,Harris,47,F
Renee,Duffin,32,LGBT
Edward,Brunette,69,F
Kevin,Simmons,129,F
Diane,Cruz,1,M
Michelle,Derry,56,LGBT
Jon,Stanley,50,Not Defined
Gabrielle,Williams,41,M
Jay,Lieberman,12,LGBT
David,Aguilar,57,F
Bobby,Prahm,28,M
Jean,Harrison,50,F
George,Bush,52,M
David,Burris,56,M
Elma,Monson,24,LGBT
Robert,Herrera,37,LGBT
Charles,Patterson,33,M
Lewis,Roark,47,F
Doyle,Cox,121,F
Gloria,Jones,18,M
Julie,Swain,41,Not Defined
Ashley,Harris,20,F
Gladys,James,14,LGBT
Megan,Garner,33,Not Defined
Ana,Jordan,34,LGBT
Maurice,Daigle,31,M
Kelly,Issa,13,F
James,Wright,58,M
Michael,Terman,9,LGBT
Daniel,Moore,39,LGBT
Justin,Williams,30,LGBT
Armand,Lewis,43,F
Elizabeth,Blomdahl,14,M
Kathleen,Crissman,42,M
Jack,Collins,44,F
Jessica,Fosberg,36,LGBT
Carrie,Cisneros,66,M
Martha,Vanover,21,M
Robyn,Osborne,194,LGBT
Lucinda,Trice,25,LGBT
Cristina,Jarvis,68,F
Jacqueline,Madison,21,M
Casey,Canter,57,M
Josephine,Mcfarland,66,LGBT
Anthony,Floyd,27,M
Valerie,Jernigan,17,M
Douglas,Cota,53,F
Janet,Hill,60,M
Cheryl,Schlichter,62,LGBT
Willie,Weitzel,29,F
Sarah,Johansen,31,M
Robert,Murphy,22,M
Sally,Camacho,140,M
Eddie,Warren,27,LGBT
Genevieve,Duncan,56,Not Defined
Carl,Moss,59,LGBT
Howard,Elford,151,F
Sheila,Cawthon,51,F
Peter,Ferguson,32,M
Linda,Millwood,51,LGBT
Rodney,Wyke,12,LGBT
Stephen,Sharp,101,LGBT
Shane,Nuss,32,Not Defined
Michael,Valencia,72,F
Ted,Holsomback,24,M
Stephen,Myers,48,F
Sherry,Eason,69,LGBT
Heather,Lawson,7,M
Amanda,Shepard,54,Not Defined
Brandon,Kiefer,25,LGBT
Ingrid,Osgood,53,LGBT
Rebecca,Hunt,27,LGBT
Herbert,Mateus,65,LGBT
Kari,Brown,65,M
Cindy,Schuld,191,Not Defined
Carol,Choe,17,F
Michael,Porter,50,LGBT
Elizabeth,Darley,38,F
Taylor,Terranova,44,M
Sandra,Simon,6,LGBT
Michael,Sparks,20,LGBT
Theresa,Solis,25,LGBT
Peter,Twogood,46,F
Jess,Stogner,2,LGBT
Mark,Christian,10,F
Pamela,Stokes,23,Not Defined
Fred,Armour,54,M
Gary,Austin,27,LGBT
Nicholas,Hicks,33,LGBT
Robert,Holland,67,LGBT
Elizabeth,Stoehr,20,LGBT
Jason,Topel,57,M
Phyllis,Hamm,29,M
Donna,Marin,45,F
Robert,Ristau,41,LGBT
Sophie,Stevenson,24,F
Merrie,Kinde,68,M
Clyde,Wiley,58,M
Carl,Kerwood,116,F
David,Morrissey,26,LGBT
Janet,Warner,58,LGBT
Irene,Shelton,51,LGBT
Andrew,Calfee,27,F
Kendra,Coulombe,33,F
Lisa,Aldridge,13,F
Loretta,Cleaver,167,LGBT
Lisa,Esler,6,M
Son,Osborne,61,F
Araceli,Jones,176,M
Mary,Holland,9,M
Dustin,Lawson,100,Not Defined
John,Strong,35,F
Mildred,Miller,17,F
Jeri,Palmer,60,M
Susan,Blair,54,F
Patricia,Graham,52,F
Phyllis,Deboard,54,M
Peter,Pittman,59,F
Edith,Jacobs,40,M
Wendy,Mcsweeney,64,F
Christopher,Silva,51,M
Thomas,Hong,31,F
Dorothy,Coffey,15,F
Adrianna,Mitchell,66,F
Leah,Miller,25,LGBT
Joanne,Gilmartin,14,LGBT
Sandra,Lindenbaum,12,M
Rita,Mynatt,20,LGBT
Henry,Priebe,68,LGBT
Sharon,Field,170,LGBT
Frances,Brafman,10,LGBT
Natalie,Dondero,46,M
Ronald,Mcneill,23,M
Brandon,Gonzales,23,F
Wesley,Yates,23,M
Joseph,Hamlin,14,LGBT
Fred,Fieck,30,F
Vasiliki,Eisenhauer,34,F
Craig,Reed,64,F
Alan,Judd,30,LGBT
Nicole,Radford,55,F
Susan,Rich,35,M
Albert,Johnston,26,F
Rosa,Barnette,50,F
Dawn,Russell,52,F
Charlie,Little,66,F
Cecil,Shaw,86,M
Edwin,Koons,23,F
Helen,Fernandez,65,F
Ramon,Chritton,48,F
Jeanette,Nieves,66,LGBT
Ida,Speidel,24,F
Patrick,Ortiz,35,LGBT
Elizabeth,Esmond,34,Not Defined
Carolyn,Sarmiento,58,F
Cynthia,Lindstrom,52,LGBT
Robert,Casale,61,F
Joshua,Coulter,49,LGBT
Marcus,Paider,41,LGBT
Dana,Fowler,181,LGBT
William,Walker,66,LGBT
Bryan,Kelley,25,F
Erin,Fleming,58,M
Perry,Ford,49,Not Defined
Ann,Corcoran,16,LGBT
Mark,Simpson,69,F
Mavis,Loos,53,M
Latoria,Plourd,159,LGBT
Edith,Huffman,4,LGBT
Joseph,Urbina,65,M
Barbara,Torres,46,LGBT
Edward,Rogers,33,M
Henry,Winters,25,F
Kelsie,Kamiya,43,M
Morgan,Pennington,21,M
Brett,Thomas,182,LGBT
Richard,Matthews,4,F
Matthew,Brown,55,M
Carol,Weil,49,LGBT
Edna,Oneal,34,F
Brenda,Bard,46,F
Diana,Bork,22,F
Ron,Skelton,25,F
Jose,Mcdaniel,130,Not Defined
Dara,Carter,69,M
Kenneth,Tanner,5,F
James,Chesterfield,43,Not Defined
John,Mckee,56,LGBT
Rodney,Grable,52,LGBT
Audrey,Henry,52,M
Cathy,Miller,33,LGBT
Michael,Edelstein,44,M
Steve,Martinez,33,M
Carmen,Mitchell,172,F
Nellie,Mclendon,59,M
Barbara,Goodrich,10,M
Daniel,Blanchard,53,Not Defined
Frank,Cox,149,LGBT
Lena,Oszust,65,LGBT
Alberto,Schlicht,200,F
Russell,Pinckney,9,LGBT
Rodney,Galdames,122,LGBT
Thomas,Campbell,32,Not Defined
Leroy,Cecil,23,M
Joy,Woods,67,F
Josephina,Mcleod,45,Not Defined
Benito,Hamlin,32,Not Defined
Elsie,Vaughn,56,LGBT
Greg,Anderson,49,M
Lawrence,Foulks,68,F
Paula,Mason,39,M
Russ,Owens,57,F
Howard,Nevin,20,M
Deandre,Salazar,67,Not Defined
Maria,Railey,30,F
Ingrid,Taylor,19,M
Sharon,Lopez,42,M
Grace,Olson,69,LGBT
Tammy,Taylor,34,M
Noel,Moreno,55,M
Betty,Pedersen,46,LGBT
Kelly,Randall,61,F
Rhonda,Harrell,84,LGBT
James,Drabek,19,M
Debbie,White,12,M
Betty,Luckenbach,36,M
Truman,Brister,39,F
Juana,Blocker,68,M
Lisa,Gleason,3,LGBT
Virginia,Redenbaugh,33,LGBT
James,Davis,21,M
James,Sims,45,LGBT
Richard,Verity,50,LGBT
Chris,Hanna,49,Not Defined
Alana,Deitz,36,Not Defined
Jeffrey,Hopkins,23,Not Defined
Lisa,Nelson,42,LGBT
Elisa,Kadis,48,LGBT
Michelle,Debonis,35,M
Clint,Thornton,30,Not Defined
Shannon,Smith,44,LGBT
Christina,Franco,36,M
Peter,Jefferies,4,LGBT
Martin,Gonzales,54,M
Greg,Dedmon,61,F
John,Batton,185,F
Victor,Shaffer,13,Not Defined
Gladys,Knox,24,F
Zachary,Nagura,38,Not Defined
Brenda,Walker,155,M
Courtney,Berka,29,F
Adam,Tabor,124,M
Joe,Anderson,37,F
Lucinda,Klein,27,M
Susan,Stierwalt,47,Not Defined
Wanda,Wasson,53,M
Jamie,Mccune,17,F
John,Schuster,35,M
Christopher,Erwin,22,M
John,Brown,23,M
Walter,Murphy,16,Not Defined
Dorothy,Laureano,27,M
Richard,Ventura,62,LGBT
Kenneth,Costa,55,F
Teresa,Ewell,47,LGBT
Betty,Comfort,35,LGBT
Christopher,Finke,58,Not Defined
Michael,Jimenez,60,M
Judith,Potter,58,M
Donald,Tompkins,61,F
Hope,Herndon,23,M
Carol,Bunker,52,Not Defined
Jimmie,Tricomi,65,M
Irene,Bibber,40,M
Brian,Weldon,57,F
Lisa,Alvarado,24,M
Richard,Banks,43,Not Defined
Louise,Campos,53,M
Robert,Wagner,15,M
Carl,Sumner,50,F
Lucille,Lambrecht,38,LGBT
Sandra,Black,20,LGBT
Nancy,Rooks,43,M
Dawn,Atwell,55,M
Irene,Buzzard,43,LGBT
Patricia,Bogar,11,M
Michael,Wagner,171,F
Aida,Francisco,34,F
Jennifer,Ferrell,30,F
Lorraine,Opteyndt,13,M
Min,Andrews,51,Not Defined
Adam,Miller,66,F
Ray,Coleman,18,LGBT
Jon,Butler,42,LGBT
Audrey,Cole,37,Not Defined
Lydia,Conroy,3,F
Janet,Billingsley,27,F
Calvin,Stillman,93,M
Tiffany,Martinez,67,M
Marcia,Hampton,60,M
Lila,Penner,38,F
Hubert,Martin,16,Not Defined
William,Rivera,14,F
Susan,Luma,53,LGBT
Raymond,Pullen,51,M
Jeffrey,Caldwell,22,M
George,Jackson,31,F
Socorro,Zvorsky,106,F
Peter,Chandler,34,F
Chad,Trafton,67,M
Kristine,Skar,19,F
Michelle,Morales,62,M
Ross,Mckenzie,1,LGBT
Wanda,Jackson,37,Not Defined
Christopher,Atwood,154,LGBT
Weldon,Fernandes,49,F
Norma,Roos,56,M
Nellie,White,42,Not Defined
Darius,Frohling,35,F
Walter,Cunha,51,LGBT
Charles,Phillips,13,M
Nicole,Johnson,35,LGBT
Paul,Boozer,2,F
Ricardo,Chase,57,LGBT
Yesenia,Ochoa,32,LGBT
Jo,Cousins,174,F
Felipe,Hutchinson,61,Not Defined
Whitney,Clark,44,M
Antoinette,Sides,20,LGBT
Suzanne,Hunter,43,LGBT
Katie,Crow,56,Not Defined
Nathan,Cobbs,41,M
Harriette,Guadalupe,1,M
Anne,Donaldson,44,M
Kimberly,Howard,78,M
Chester,Pitzer,17,M
Elsie,Hackett,53,M
Jackie,York,134,LGBT
Betty,Buckner,21,LGBT
Terry,Shimmin,47,M
Jeffrey,Taylor,36,F
Don,Fenton,23,LGBT
Robin,Crawford,52,M
Joel,Peralta,66,M
Christian,Jacob,123,M
Betty,Miller,153,LGBT
Don,Barry,41,LGBT
Jose,Bryant,60,M
Pamela,Downes,30,F
Mark,Beaudry,105,LGBT
Shawn,Brandt,39,Not Defined
Leona,Webley,62,M
Jean,Smith,17,M
Sally,Humphries,61,F
Jennifer,Silva,36,LGBT
Amelia,Mitchell,57,LGBT
Amalia,Valle,3,LGBT
Barbara,Miller,56,M
Angelica,Matson,41,LGBT
Joseph,Maulden,17,LGBT
Brenda,Randall,54,M
Palmer,Torres,44,F
Robert,Griffin,24,F
Sara,Howard,57,M
Ollie,Ray,26,LGBT
Holly,Gray,95,M
Caroline,Bradshaw,80,LGBT
Annie,Tappen,65,LGBT
Russell,Barker,53,LGBT
Harold,Vance,14,F
Michael,Laprade,25,F
Peggy,Ellis,69,F
Megan,Benton,55,F
James,Cassady,30,F
Joyce,Moton,29,M
William,Lewis,59,LGBT
Jeff,Wood,92,Not Defined
John,Goudeau,52,Not Defined
Annie,Anderson,52,LGBT
Tonia,Willcox,67,M
William,Lackey,16,LGBT
Donna,Webb,53,M
Olive,Holsey,40,M
James,Olinger,34,M
Jose,Lloyd,30,M
Kathryn,Vickery,33,F
Debra,Simpson,63,F
Deedee,Jackson,43,F
Angel,Torres,24,F
Heather,Widener,59,M
Jean,Harris,65,LGBT
Lena,Colley,47,M
Elizabeth,Ashley,11,M
Robert,Thompson,32,M
Robert,White,68,M
Gregory,Eastman,60,F
Lillian,Carpenter,18,F
Heather,Baird,13,M
Daniel,Niece,35,LGBT
Ruby,Whittington,32,M
Alice,Auerswald,47,Not Defined
Edward,Buttaro,25,LGBT
William,Thornton,12,LGBT
Charles,Thao,19,F
Anna,Anchors,19,LGBT
Eric,Helf,49,LGBT
Jack,Pack,157,Not Defined
Minh,Boggs,46,F
John,Ankney,64,F
Carlene,Hood,73,M
Leroy,Jackson,35,F
Bryan,Westling,35,LGBT
Sheri,Moore,27,M
Lily,Moncrief,8,M
Elizabeth,Lish,47,F
Juan,Laird,52,M
Matthew,Carter,51,F
Ronald,Perez,53,LGBT
Jason,Bourgeois,159,M
John,Radford,60,F
Melissa,Feldman,16,LGBT
Margaret,Mozak,40,LGBT
Christie,Chavez,80,Not Defined
Edward,Ackerman,46,M
Penny,Stringham,4,M
Otelia,Zappa,5,LGBT
Marlyn,Tedeschi,56,F
Shannon,Allain,52,F
Sarah,Woodside,57,M
John,Heitzman,30,LGBT
Jimmy,Lovern,52,LGBT
Gretchen,Howe,44,LGBT
Lenore,Debuhr,21,F
Tad,Hofmann,140,M
Eugene,Doi,34,Not Defined
Cindy,May,60,LGBT
Shirley,Tucker,161,LGBT
Roger,Mullins,65,F
Joey,Bowlin,23,F
Mary,Lopez,12,LGBT
Joe,Freeland,100,LGBT
Dorothy,Eurich,28,F
Alvin,Shaffer,65,M
Benjamin,Watts,52,M
Gary,Ankenman,125,M
Christopher,Pugh,58,LGBT
Cecile,Epps,124,LGBT
Alejandro,Hill,2,F
Frances,Hester,52,F
Katie,Kerr,63,F
Dan,Ambrose,47,M
Sydney,Bobek,50,M
Dorothy,Hecht,53,M
Kathy,Lizarraga,69,LGBT
David,Moser,41,LGBT
Charles,Coffman,33,F
Denise,Daves,30,F
Anita,Helton,67,F
Michael,Curtsinger,36,M
Janet,Mendez,61,F
Orval,Randolph,56,F
Julia,Bhatia,15,F
Ron,Simmons,191,LGBT
Barry,Williams,61,M
Wayne,Schrader,58,F
Paul,Robertson,23,LGBT
John,Kim,41,M
Angie,Haar,20,F
Elizabeth,Benet,64,M
Joan,Kent,63,Not Defined
Nicholas,Martinez,1,LGBT
Angela,Sanders,50,LGBT
Edward,Janicki,65,LGBT
Robin,Sanchez,72,LGBT
Paul,Cooper,63,M
